base_domain,csirt_url,telepon,email,apresiasi,rfc_2350
beacukai.go.id,https://csirt.beacukai.go.id/,,satgas_lebaran@kemenkeu.go.id,,
boyolali.go.id,https://csirt.boyolali.go.id/,"+62865148777, +62276320009, +6286514877",csirt@boyolali.go.id,,https://csirt.boyolali.go.id/storage/public-key/BoyolaliKab-CSIRT-pgp-public-key.asc
bontangkota.go.id,https://csirt.bontangkota.go.id/,"+626966436435, +6269664364352, +6285245767385",csirt@bontangkota.go.id,,https://csirt.bontangkota.go.id/storage/public-key/BONTANGKOTA-CSIRT-public.asc
bp2mi.go.id,https://csirt.bp2mi.go.id/,"+6296916874, +62218001000, +62969168742",csirt@bp2mi.go.id,,https://csirt.bp2mi.go.id/storage/public-key/bp2mi-publickey.asc
bnpp.go.id,https://csirt.bnpp.go.id/,"+622131924491, +6277289381, +62772893819",,,https://csirt.bnpp.go.id/storage/public-key/datev_0xB3289A37_public.asc
bpip.go.id,https://csirt.bpip.go.id/,"+62213505200, +6228125856",csirt@bpip.go.id,,https://csirt.bpip.go.id/storage/public-key/BPIP-CSIRT_0xD723D5EC_public.asc
balitbangjateng.go.id,https://csirt.balitbangjateng.go.id/404.html,,,,
bolmongkab.go.id,https://csirt.bolmongkab.go.id/,"+6270160693, +622145624067",csirt@bolmongkab.go.id,,
bmkg.go.id,https://csirt.bmkg.go.id/,,csirt@bmkg.go.id,,https://csirt.bmkg.go.id/storage/key/01JS0XAFMYXE7D6VQ8D29CGEBT.asc
bnpt.go.id,https://csirt.bnpt.go.id/,,noc@bnpt.go.id,,
bkkbn.go.id,https://csirt.bkkbn.go.id/,,,,
blitar.go.id,https://csirt.blitar.go.id/cgi-sys/suspendedpage.cgi,,webmaster@csirt.blitar.go.id,,
banjarbarukota.go.id,https://csirt.banjarbarukota.go.id/,+625116749126,,,https://csirt.banjarbarukota.go.id/storage/public-key/banjarbaru.asc
brebeskab.go.id,https://csirt.brebeskab.go.id/,"+6291684770, +62283672907, +624513845312",csirt@brebeskab.go.id,,https://csirt.brebeskab.go.id/storage/public-key/pgp_public_key.asc
blorakab.go.id,https://csirt.blorakab.go.id/,"+62432911805, +6243291180, +6236768257",,,https://csirt.blorakab.go.id/storage/public-key/publickeyblora.asc
bpk.go.id,https://csirt.bpk.go.id/,+62212554900,csirt@bpk.go.id,,
bsn.go.id,https://csirt.bsn.go.id/,,,,
bpbatam.go.id,https://csirt.bpbatam.go.id/,"+624023614061417, +6288983860, +6281268099500",,,https://csirt.bpbatam.go.id/storage/public-key/CSIRT-BPBatam_0xEFBDDED6_public.asc
bps.go.id,https://csirt.bps.go.id/,,,,https://csirt.bps.go.id/assets/bps-csirt.asc
bondowosokab.go.id,https://csirt.bondowosokab.go.id/,"+62066340442, +6206634044, +62332421707",csirt@bondowosokab.go.id,,
brin.go.id,https://csirt.brin.go.id/,"+62588235294, +6258823529, +623921568627",,,
buolkab.go.id,https://csirt.buolkab.go.id/,"+62716979999, +627169799999, +622178833610987",bantuan70@bssn.go.id,,https://csirt.buolkab.go.id/storage/public-key/pgcsirt@jogjaprov.go_.id-0xC824AF44-rev.asc
butonkab.go.id,https://csirt.butonkab.go.id/,,,,
bumn.go.id,https://csirt.bumn.go.id/,"+6282312126860, +62820221499, +62820229216",csirt@bumn.go.id,,
butonutarakab.go.id,https://csirt.butonutarakab.go.id/,,,,
covid19.go.id,http://csirt.covid19.go.id/,,,,
cilegon.go.id,https://csirt.cilegon.go.id/,,,,
cirebonkota.go.id,https://csirt.cirebonkota.go.id/,"+622318804620, +6235467587, +6285147728686",csirt@cirebonkota.go.id,,https://csirt.cirebonkota.go.id/storage/public-key/pgp_key_csirt_cirebonkota.asc
dephub.go.id,https://csirt.dephub.go.id/,+62213811308,cs-digiportasi@kemenhub.go.id,,https://csirt.dephub.go.id/upload/Digiportasi_cs-digiportasi@kemenhub.go.id-0x669C6840C0A7736C-pub.asc
depok.go.id,https://csirt.depok.go.id/,"+6289515957800, +628951595780, +6229645545",csirt@depok.go.id,,https://csirt.depok.go.id/storage/public-key/csirt@depok.go.id_0x1F1FC96D4F97960B.asc
denpasarkota.go.id,https://csirt.denpasarkota.go.id/,+62361431229,,,https://csirt.denpasarkota.go.id/assets/Publik-Key-Bantuan70-pub.asc
demakkab.go.id,https://csirt.demakkab.go.id/,"+6285600895689, +62108560089, +62291685790",csirt@demakkab.go.id,,https://csirt.demakkab.go.id/storage/public-key/DemakKab-CSIRT_0xFC0B3947_public.asc
dilmil-ambon.go.id,https://csirt.dilmil-ambon.go.id/,,,,
cilacapkab.go.id,https://csirt.cilacapkab.go.id/,"+620595407476, +622825563111, +6268792296",,,https://csirt.cilacapkab.go.id/storage/public-key/cilacap-csirt.asc
dpd.go.id,https://csirt.dpd.go.id/,+622157897371,csirt@dpd.go.id,,https://csirt.dpd.go.id/assets/Publik-Key-Bantuan70-pub.asc
dpr.go.id,https://csirt.dpr.go.id/,"+62620220107, +6233517193, +628127575610",csirt@dpr.go.id,,https://berkas.dpr.go.id/setjen/dokumen/-Kunci-Publik-Kunci-Publik-DPRRI-CSIRT-1644990809.asc
bandaacehkota.go.id,https://csirt.bandaacehkota.go.id/,,,,
banyumaskab.go.id,https://csirt.banyumaskab.go.id/,"+6275879092, +6252503151, +625062508423",,,
bpkp.go.id,https://csirt.bpkp.go.id/,+622185910031,csirt@bpkp.go.id,,https://csirt.bpkp.go.id/storage/public-key/csirt csirt@bpkp.go.id-(0xC90272608CC1A16A)-public.asc
ekon.go.id,https://csirt.ekon.go.id/,+62213521981,csirt@ekon.go.id,,https://csirt.ekon.go.id/assets/Publik-Key-Bantuan71-pub.asc
esdm.go.id,https://csirt.esdm.go.id/,"+6285935279604, +628593527960, +62213804242",csirt@esdm.go.id,,
gorontaloprov.go.id,https://csirt.gorontaloprov.go.id/,"+6203443873, +627213583299, +62575830003",csirt@gorontaloprov.go.id,,https://csirt.gorontaloprov.go.id/storage/public-key/PublicKey-CSIRT-GorontaloProv.asc
gorontalokota.go.id,https://csirt.gorontalokota.go.id/,"+624358530332, +625743177311",csirt@gorontalokota.go.id,,
grobogan.go.id,https://csirt.grobogan.go.id/,"+6287355694881, +628735569488, +62292421059",csirt@grobogan.go.id,,https://csirt.grobogan.go.id/storage/public-key/GroboganKab-CSIRT.asc
gunungkidulkab.go.id,https://csirt.gunungkidulkab.go.id/,"+62986153161, +629861531610, +6298615316",csirt@gunungkidulkab.go.id,,https://csirt.gunungkidulkab.go.id/storage/public-key/publickey.asc
hulusungaiselatankab.go.id,https://csirt.hulusungaiselatankab.go.id/,"+6289649870532, +628964987053",csirt@hulusungaiselatankab.go.id,,https://csirt.hulusungaiselatankab.go.id/storage/public-key/HSSKab-CSIRT_0xFAE0E0A6_Public_Key.asc
hstkab.go.id,https://csirt.hstkab.go.id/,"+625173791750, +6221684514",csirt@hulusungaitengahkab.go.id,,https://csirt.hstkab.go.id/storage/public-key/CSIRT HST_csirt@hulusungaitengahkab.go.id-0x07C9085F02D44618-pub.asc
gianyarkab.go.id,https://csirt.gianyarkab.go.id/,+6285103136299,,,https://csirt.gianyarkab.go.id/storage/public-key/Kuncipublikgianyar.asc
hsu.go.id,https://csirt.hsu.go.id/,"+625276061127, +62090140070",agunggov-csirt_csirt@hsu.go.id-0xf1edabbf65e4e1e6-pub.asc,,https://csirt.hsu.go.id/storage/public-key/AgungGov-CSIRT_csirt@hsu.go.id-0xF1EDABBF65E4E1E6-pub.asc
jabarprov.go.id,https://csirt.jabarprov.go.id/,+62222502898,csirt@jabarprov.go.id,,https://csirt.jabarprov.go.id/assets/Publik-Key-Bantuan70-pub.asc
jakarta.go.id,https://csirt.jakarta.go.id/,"+622306230954, +62240620070, +62220728024",csirt@jakarta.go.id,,
jatimprov.go.id,https://csirt.jatimprov.go.id/,+62318294608,csirt@jatimprov.go.id,,https://csirt.jatimprov.go.id/storage/public-key/CSIRT csirt@jatimprov.go.id-(0x673E1A7B927BB529)-public.asc
jambiprov.go.id,https://csirt.jambiprov.go.id/,+625227168,,,
indramayukab.go.id,https://csirt.indramayukab.go.id/,,,,
jayapurakota.go.id,https://csirt.jayapurakota.go.id/,+62000000000,csirt@jayapurakota.go.id,,https://csirt.jayapurakota.go.id/storage/public-key/csirt@jayapurakota.go.id-(0xC628B44DF6076B52)-public.asc
jambikota.go.id,https://csirt.jambikota.go.id/,,,,
jepara.go.id,https://csirt.jepara.go.id/,"+62321765631, +62291591492",csirt@jepara.go.id,,https://csirt.jepara.go.id/storage/public-key/Jepara-CSIRT_0xD6BED5EC_public.asc
jogjakota.go.id,https://csirt.jogjakota.go.id/,"+62240828094227, +62240828094, +62241125125129",csirt@jogjakota.go.id,,
kalselprov.go.id,https://csirt.kalselprov.go.id/,+625116749844,sandikami@kalselprov.go.id,,https://csirt.kalselprov.go.id/storage/public-key/sandikami.asc
kapuashulukab.go.id,https://csirt.kapuashulukab.go.id/,+625672022922,csirt@kapuashulukab.go.id,,https://csirt.kapuashulukab.go.id/storage/public-key/pgcsirt@jogjaprov.go_.id-0xC824AF44-rev.asc
kalbarprov.go.id,https://csirt.kalbarprov.go.id/,"+6240714161409, +624071416140, +6282154436200",,,
jogjaprov.go.id,https://csirt.jogjaprov.go.id/,,,,
karawangkab.go.id,https://csirt.karawangkab.go.id/,"+622678450633, +622115063430, +62211506343",csirt@karawangkab.go.id,,https://csirt.karawangkab.go.id/storage/public-key/KunciPublik-KarawangKab-CSIRT.asc
kaltaraprov.go.id,https://csirt.kaltaraprov.go.id/,+6277736669,csirt@kaltaraprov.go.id,,https://csirt.kaltaraprov.go.id/storage/public-key/PGP-Key_KaltaraProv-CSIRT.asc
jembranakab.go.id,https://csirt.jembranakab.go.id/,+6236541210,csirt@jembranakab.go.id,,https://csirt.jembranakab.go.id/storage/public-key/JEMBRANA-CSIRT_0x36F92D13_public.asc
inhukab.go.id,https://csirt.inhukab.go.id/,"+6282391908426, +628239190842",persandian@inhukab.go.id,,
kayongutarakab.go.id,https://csirt.kayongutarakab.go.id/,,,,
kebumenkab.go.id,https://csirt.kebumenkab.go.id/,+62287381794,csirt@kebumenkab.go.id,,https://csirt.kebumenkab.go.id/assets/img/public-key/CSIRT_KEBUMENKAB_0x1049B0C0_public.asc
humbanghasundutankab.go.id,https://www.youtube.com/watch?v=UU3in6OivIM&feature=youtu.be,+6200000000,,,
kamparkab.go.id,https://csirt.kamparkab.go.id/,+621860547338,csirt@kamparkab.go.id,,
kejaksaan.go.id,https://csirt.kejaksaan.go.id/,,,,
kedirikota.go.id,https://csirt.kedirikota.go.id/,"+62354682955, +62354682955158",csirt@kedirikota.go.id,,https://csirt.kedirikota.go.id/storage/public-key/Kediri Kota CSIRT_0xE1EA38F4_public.asc
karantinaindonesia.go.id,https://csirt.karantinaindonesia.go.id/,"+6284448212, +62217816481",,,https://csirt.karantinaindonesia.go.id/storage/public-key/OpenPGP_0x9905A36A219BE71F_and_old_rev.asc
jombangkab.go.id,https://csirt.jombangkab.go.id/,"+626505455699, +62650545569, +6265054556",,,https://csirt.jombangkab.go.id/storage/public-key/jombangkab-publickey.asc
kedirikab.go.id,https://csirt.kedirikab.go.id/,"+621484001464, +6295925159, +623259677500",,,https://csirt.kedirikab.go.id/storage/public-key/KediriKab-CSIRT-pub.asc
jatengprov.go.id,https://csirt.jatengprov.go.id/,"+622408319140, +62049656358, +6204965635",csirt@jatengprov.go.id,,
kejari-halut.go.id,https://csirt.kejari-halut.go.id/,,,,
karanganyarkab.go.id,https://csirt.karanganyarkab.go.id/,,,,
kejari-lampungtengah.go.id,http://csirt.kejari-lampungtengah.go.id/,,,,
kejari-malangkab.go.id,https://csirt.kejari-malangkab.go.id/,,aduankonten@mail.kominfo.go.id,,
intanjayakab.go.id,https://intanjayakab.go.id/wp-signup.php?new=csirt,"+620408258167, +624846783, +628500167742",office@legit.com,,
kemendagri.go.id,https://csirt.kemendagri.go.id/,"+62151699999, +62213450038, +6215169999",csirt@kemendagri.go.id,,https://csirt.kemendagri.go.id/storage/public-key/KunciPublik_0x0D04C2E1_public.asc
kemenhub.go.id,https://csirt.kemenhub.go.id/,+62213811308,cs-digiportasi@kemenhub.go.id,,https://csirt.kemenhub.go.id/upload/Digiportasi_cs-digiportasi@kemenhub.go.id-0x669C6840C0A7736C-pub.asc
kemenperin.go.id,https://csirt.kemenperin.go.id/,"+6264161087, +62000000000",csirt@kemenperin.go.id,,https://csirt.kemenperin.go.id/storage/public-key/Kemenperin-CSIRT_0x9128F4F7_KunciPublik.asc
kemenkopmk.go.id,https://csirt.kemenkopmk.go.id/,"+62213459444, +6219671476",pmk.csirt@kemenkopmk.go.id,,https://csirt.kemenkopmk.go.id/storage/public-key/publickey.asc
kemendag.go.id,https://csirt.kemendag.go.id/,"+628925165792115, +62213858171, +628925165792",csirt@kemendag.go.id,,https://csirt.kemendag.go.id/assets/Publik-Key-Bantuan70-pub.asc
kemenag.go.id,https://csirt.kemenag.go.id/,"+62213812306, +6209689073",csirt@kemenag.go.id,,https://csirt.kemenag.go.id/storage/public-key/Public Key Kemenag-CSIRT.pgp
kemenkeu.go.id,https://csirt.kemenkeu.go.id/,,,,
kemensos.go.id,https://csirt.kemensos.go.id/,"+622122804288, +6272003673",pusdatin@kemsos.go.id,,https://csirt.kemensos.go.id/storage/public-key/publickey.asc
kemhan.go.id,https://csirt.kemhan.go.id/,,csirt@kemhan.go.id,,https://csirt.kemhan.go.id/assets/CSIRT-Kemhan_0xAD591C54_public.asc
kendalkab.go.id,https://csirt.kendalkab.go.id/,+62294384353,diskominfo@kendalkab.go.id,,https://csirt.kendalkab.go.id/storage/public-key/Kendalkab-CSIRT_0xF3DCCABD_public.asc
kemendesa.go.id,https://csirt.kemendesa.go.id/,"+621901019, +621401018",,,
kemenpppa.go.id,https://csirt.kemenpppa.go.id/,+62213842638,csirt@kemenpppa.go.id,,https://csirt.kemenpppa.go.id/storage/public-key/Publickey_0x6B9E8FD7.asc
kemenkopukm.go.id,https://csirt.kop.go.id/,"+626666666666, +6266666666666",,,
kki.go.id,https://csirt.kki.go.id/,,,,
klungkungkab.go.id,https://csirt.klungkungkab.go.id/,,aduankonten@mail.kominfo.go.id,,
klaten.go.id,https://csirt.klaten.go.id/,,marwa@elmanawy.info,,
kotabogor.go.id,https://csirt.kotabogor.go.id/,+622518321075,csirt@kotabogor.go.id,,https://csirt.kotabogor.go.id/storage/public-key/Tim Tanggap Insiden Siber Kota Bogor_csirt@kotabogor.go.id-0xF95E3315FF63797A-pub.asc
kemenpora.go.id,https://csirt.kemenpora.go.id/,,,,
kpi.go.id,https://csirt.kpi.go.id/,"+6298493820, +6281110010022",csirt@kpi.go.id,,https://csirt.kpi.go.id/storage/public-key/KPI-CSIRT_0x98A535A2_public.asc
komisiyudisial.go.id,https://csirt.komisiyudisial.go.id/,"+62213905876, +620213905876",csirt@komisiyudisial.go.id,,
kotamobagu.go.id,https://csirt.kotamobagu.go.id/,,,,
kendarikota.go.id,https://frotendvest.com/,,,,
kotaprabumulih.go.id,https://csirt.kotaprabumulih.go.id/,"+622838730540, +6228387305408, +622838730540888",,,
ketapangkab.go.id,https://csirt.ketapangkab.go.id/,,diskominfo@ketapangkab.go.id,,https://csirt.ketapangkab.go.id/storage/public-key/pgcsirt@jogjaprov.go_.id-0xC824AF44-rev.asc
knkt.go.id,https://csirt.knkt.go.id/,,,,
kotabarukab.go.id,https://csirt.kotabarukab.go.id/,"+629819100, +624352100",,,
knks.go.id,https://ups-error.com,,,,
kppip.go.id,https://kppip.go.id/,,,,
kpud-purworejokab.go.id,https://csirt.kpud-purworejokab.go.id/,,,,
ksp.go.id,https://csirt.ksp.go.id/,"+622123545001, +620001201, +62131102229",,,
kuduskab.go.id,https://csirt.kuduskab.go.id/,"+6274991400, +62569196845, +625691968453",csirt@kuduskab.go.id,,https://csirt.kuduskab.go.id/storage/public-key/KudusKab-CSIRT_0xDA1571D5_public.asc
kuningankab.go.id,https://csirt.kuningankab.go.id/,+62232871142,info@csirt.kuningankab.go.id,,https://csirt.kuningankab.go.id/storage/public-key/CSIRTPemkab Kuningan_public.asc
kulonprogokab.go.id,https://csirt.kulonprogokab.go.id/,"+62274773272, +62980173050, +629801730508",csirt@kulonprogokab.go.id,,https://csirt.kulonprogokab.go.id/storage/public-key/Kulon Progo - CISRT_csirt@kulonprogokab.go.id-0x8C64100D9E477C6F-pub.asc
kuburayakab.go.id,https://csirt.kuburayakab.go.id/,"+62038804605, +6281345588813, +628965745838",csrit@kuburayakab.go.id,,
kutaitimurkab.go.id,https://csirt.kutaitimurkab.go.id/,"+6262038923, +625492021207, +62670403567",admin@kutaitimurkab.go.id,,https://csirt.kutaitimurkab.go.id/storage/public-key/csirt-kutim-publickey-new.asc
lampungbaratkab.go.id,https://csirt.lampungbaratkab.go.id/,,,,
lampungselatankab.go.id,https://csirt.lampungselatankab.go.id/,+62893928855958,csirt@lampungselatankab.go.id,,https://csirt.lampungselatankab.go.id/storage/public-key/publickey.asc
lamongankab.go.id,https://csirt.lamongankab.go.id/,"+6291796253, +62322321168, +62917962538",csirt@lamongankab.go.id,,https://csirt.lamongankab.go.id/storage/public-key/LamongankabCSIRT_0x52AC97BC_public.asc
lampungtengahkab.go.id,http://csirt.lampungtengahkab.go.id/,,,,
lampungtimurkab.go.id,http://csirt.lampungtimurkab.go.id/,,,,
landakkab.go.id,https://csirt.landakkab.go.id/,+6256121792,csirt@landakkab.go.id,,https://csirt.landakkab.go.id/storage/public-key/KunciPublik-LandakKab-CSIRT.asc
lemhannas.go.id,https://csirt.lemhannas.go.id/,+62213847749,lhn-csirt@lemhannas.go.id,,https://csirt.lemhannas.go.id/storage/public-key/publickey.asc
lkpp.go.id,https://csirt.lkpp.go.id/,+622129912450,csirt@lkpp.go.id,,https://csirt.lkpp.go.id/assets/Publik-Key-LKPP-pub.asc
lpsk.go.id,https://csirt.lpsk.go.id/,"+6232161796, +62893750045, +6286265356694",,,https://csirt.lpsk.go.id/lpsk_0x4CEBEF32_public.asc
lombokutarakab.go.id,https://csirt.lombokutarakab.go.id/,"+628775978182, +6287759781823",diskominfo@lombokutarakab.go.id,,
lubuklinggaukota.go.id,https://csirt.lubuklinggaukota.go.id/,"+62057094881, +6205709488, +627333288050",bantuan@csirt.lubuklinggaukota.go.id,,https://csirt.lubuklinggaukota.go.id/storage/public-key/csirt linggau kota.asc
limapuluhkotakab.go.id,https://csirt.limapuluhkotakab.go.id/,,csirt@limapuluhkotakab.go.id,,
lapor.go.id,https://csirt.lapor.go.id/,"+625011096, +6209338207, +6255641299",lapor@layanan.go.id,,
madina.go.id,https://csirt.madina.go.id/,,,,
lamandaukab.go.id,https://csirt.lamandaukab.go.id/,+6200000015,,,
madiunkota.go.id,https://csirt.madiunkota.go.id/,"+62351467327, +62152925244, +6215292524",csirt@madiunkota.go.id,,https://csirt.madiunkota.go.id/storage/public-key/publickey.asc
magelangkab.go.id,https://csirt.magelangkab.go.id/,+62293788181,csirt@magelangkab.go.id,,https://csirt.magelangkab.go.id/storage/public-key/MagelangKab-CSIRT_1_2_public.asc
magelangkota.go.id,https://csirt.magelangkota.go.id/,"+62372719458, +623727194587, +62293363695",csirt@magelangkota.go.id,,https://csirt.magelangkota.go.id/storage/public-key/PubKeyPGP_magelangkotacsirt.asc
magetan.go.id,https://csirt.magetan.go.id/,"+626756184544, +62675618454, +6267561845",csirt@magetan.go.id,,https://csirt.magetan.go.id/storage/public-key/Magetan CSIRT-pub.asc
mahakamulukab.go.id,https://csirt.mahakamulukab.go.id/,"+6281300000000, +628130000000",csirt@mahakamulukab.go.id,,https://csirt.mahakamulukab.go.id/storage/public-key/Update 24042025 PGP csirt@mahakamulukab.go.id.asc
malangkab.go.id,https://csirt.malangkab.go.id/,"+62341408788, +62072228576, +620722285768",csirt@malangkab.go.id,,https://csirt.malangkab.go.id/storage/public-key/MALANGKAB-CSIRT_public.asc
malutprov.go.id,https://csirt.malutprov.go.id/,+6210499958,csirt@malutprov.go.id,,https://csirt.malutprov.go.id/storage/public-key/Csirt-Malutprov_0x7C790D71_public.asc
malukuprov.go.id,http://csirt.malukuprov.go.id/,,,,
