base_domain,csirt_url,telepon,email,apresiasi,rfc_2350
indonesiaterkini.co.id,http://csirt.indonesiaterkini.co.id/,,,,
indonesiatoday.co.id,https://csirt.indonesiatoday.co.id/,,aduankonten@mail.kominfo.go.id,,
inikata.co.id,http://csirt.inikata.co.id/,,,,
intelijen.co.id,https://csirt.intelijen.co.id/,,aduankonten@mail.kominfo.go.id,,
investasiku.co.id,https://csirt.investasiku.co.id/,,aduankonten@mail.kominfo.go.id,,
istanaplaza.co.id,https://csirt.istanaplaza.co.id/,,aduankonten@mail.kominfo.go.id,,
jadwalbimteklppakpd.co.id,https://csirt.jadwalbimteklppakpd.co.id/,,aduankonten@mail.kominfo.go.id,,
industry.co.id,https://csirt.industry.co.id/,,info@thepresidentpost.id,,
jakartateknik.co.id,https://csirt.jakartateknik.co.id/,,,,
janigadingfurniture.co.id,https://csirt.janigadingfurniture.co.id/,,aduankonten@mail.kominfo.go.id,,
indonesianet.co.id,https://csirt.indonesianet.co.id/,"+627929666802, +62215084211",help.es@bata.com,,
jasaborsumur.co.id,https://csirt.jasaborsumur.co.id/,,aduankonten@mail.kominfo.go.id,,
javatraveller.co.id,https://csirt.javatraveller.co.id/,,aduankonten@mail.kominfo.go.id,,
jasatirta2.co.id,https://csirt.jasatirta2.co.id/,+62286520948,,,
jawara79.co.id,https://csirt.jawara79.co.id/,,aduankonten@mail.kominfo.go.id,,
inti.co.id,https://csirt.inti.co.id/,"+6298039215, +6239215686",,,
indonetdigital.co.id,https://csirt.indonetdigital.co.id/,,,,
iwip.co.id,https://csirt.iwip.co.id/,,,,
jkdt.co.id,https://csirt.jkdt.co.id/,,aduankonten@mail.kominfo.go.id,,
indofarma.co.id,https://csirt.indofarma.co.id/,,,,
itoday.co.id,https://csirt.itoday.co.id/,,,,
indrakarya.co.id,http://csirt.indrakarya.co.id/,,,,
indonesiasatu.co.id,https://mercusuar.uzone.id/,,,,
kartupos.co.id,http://csirt.kartupos.co.id/,,,,
kartikasari.co.id,http://csirt.kartikasari.co.id/,,,,
kilasberita.co.id,https://csirt.kilasberita.co.id/,,aduankonten@mail.kominfo.go.id,,
klikmbc.co.id,https://csirt.klikmbc.co.id/,,aduankonten@mail.kominfo.go.id,,
klg.co.id,https://csirt.klg.co.id/,,aduankonten@mail.kominfo.go.id,,
kkr.co.id,https://csirt.kkr.co.id/,,aduankonten@mail.kominfo.go.id,,
kiw.co.id,https://csirt.kiw.co.id/public/,+0123456789,,,
khasiat.co.id,https://khasiat.co.id/,,,,
koperasisyariah212.co.id,https://csirt.koperasisyariah212.co.id/,,,,
kreasiprima.co.id,http://csirt.kreasiprima.co.id/,,,,
konveksijogja.co.id,https://csirt.konveksijogja.co.id/,,aduankonten@mail.kominfo.go.id,,
ktb-mitsubishimotors.co.id,https://csirt.ktb-mitsubishimotors.co.id/,,aduankonten@mail.kominfo.go.id,,
lamido.co.id,https://csirt.lamido.co.id/,,aduankonten@mail.kominfo.go.id,,
lampunggeh.co.id,https://csirt.lampunggeh.co.id/,,aduankonten@mail.kominfo.go.id,,
lantaibambu.co.id,https://csirt.lantaibambu.co.id/,,aduankonten@mail.kominfo.go.id,,
kunciberita.co.id,https://www.google.com/,+6234158433,,,
levelondigital.co.id,http://csirt.levelondigital.co.id/,,,,
ligaindonesia.co.id,http://csirt.ligaindonesia.co.id/,,,,
labbaika.co.id,https://csirt.labbaika.co.id/,,,,
level-up.co.id,http://csirt.level-up.co.id/,,,,
liga-indonesia.co.id,https://csirt.liga-indonesia.co.id/,,aduankonten@mail.kominfo.go.id,,
locavore.co.id,http://csirt.locavore.co.id/,,,,
lokerindo.co.id,https://csirt.lokerindo.co.id/,,aduankonten@mail.kominfo.go.id,,
lummoshop.co.id,https://csirt.lummoshop.co.id/,,aduankonten@mail.kominfo.go.id,,
mafiabrankas.co.id,http://csirt.mafiabrankas.co.id/,,,,
lrtcity-ciracas.co.id,https://csirt.lrtcity-ciracas.co.id/,,aduankonten@mail.kominfo.go.id,,
luxola.co.id,https://csirt.luxola.co.id/,,aduankonten@mail.kominfo.go.id,,
lsi.co.id,https://csirt.lsi.co.id/,,aduankonten@mail.kominfo.go.id,,
lrtjakarta.co.id,https://csirt.lrtjakarta.co.id/,+62949481327,,,
lantai.co.id,https://csirt.lantai.co.id/,"+628988393393, +6288809980998",webmaster@trendku.co.id,,
magnusdigital.co.id,https://csirt.magnusdigital.co.id/,"+62652924084, +6224787699",,,
makmurmeta.co.id,https://csirt.makmurmeta.co.id/,,,,
manggaduasquare.co.id,https://csirt.manggaduasquare.co.id/,,aduankonten@mail.kominfo.go.id,,
locomotif.co.id,https://csirt.locomotif.co.id/login_up.php,"+62791060416, +62782607590913",50365a6fe24f4ff28f6b625410e04a35@sentry.io,,
lsmlaw.co.id,https://csirt.lsmlaw.co.id/login_up.php,"+62791060416, +62782607590913",50365a6fe24f4ff28f6b625410e04a35@sentry.io,,
lapindo-brantas.co.id,https://csirt.lapindo-brantas.co.id/,,,,
lihat.co.id,https://csirt.lihat.co.id/,,,,
ligaprima.co.id,https://csirt.ligaprima.co.id/,,,,
majalahkartini.co.id,https://csirt.majalahkartini.co.id/,,,,
majestygroup.co.id,https://ups-error.com,,,,
kyriadprestige.co.id,http://csirt.kyriadprestige.co.id/,,,,
market.co.id,https://csirt.market.co.id/,,,,
maverick.co.id,https://maverick.co.id/,,,,
metalbatam.co.id,https://csirt.metalbatam.co.id/,"+6283626706, +6283687852",primahengkiki@gmail.com,,
megaswara.co.id,https://csirt.megaswara.co.id/,+623861325904,,,
memox.co.id,https://abirupa.org/,"+625882352941, +6258823529",,,
miq.co.id,https://csirt.miq.co.id/,,,,
mixmedia.co.id,http://csirt.mixmedia.co.id/,,,,
mod.co.id,https://csirt.mod.co.id/,,aduankonten@mail.kominfo.go.id,,
monitor.co.id,https://csirt.monitor.co.id:443/login_up.php,"+62791060416, +62782607590913",50365a6fe24f4ff28f6b625410e04a35@sentry.io,,
mitramandiri-informatika.co.id,http://csirt.mitramandiri-informatika.co.id/,,,,
mitraalatternak.co.id,https://csirt.mitraalatternak.co.id/,"+6274637138, +62170511926",,,
multivisionplus.co.id,https://csirt.multivisionplus.co.id/,,aduankonten@mail.kominfo.go.id,,
mutasikita.co.id,https://csirt.mutasikita.co.id/,,aduankonten@mail.kominfo.go.id,,
mywater.co.id,https://csirt.mywater.co.id/,,aduankonten@mail.kominfo.go.id,,
miniso.co.id,https://csirt.miniso.co.id/,,,,
miwon.co.id,https://csirt.miwon.co.id/,,,,
newtonstingray.co.id,http://csirt.newtonstingray.co.id/,,,,
on.co.id,https://csirt.on.co.id/,,aduankonten@mail.kominfo.go.id,,
omnicare.co.id,https://csirt.omnicare.co.id/,,,,
p3gi.co.id,http://csirt.p3gi.co.id/,,,,
owabong.co.id,https://csirt.owabong.co.id/,,aduankonten@mail.kominfo.go.id,,
pacific-pedia.co.id,http://csirt.pacific-pedia.co.id/,,,,
multimakmur.co.id,https://www.ambientespabali.com/,,,,
pal.co.id,https://csirt.pal.co.id/,+62313292275,divti@pal.co.id,,
pansaka.co.id,https://csirt.pansaka.co.id/,,aduankonten@mail.kominfo.go.id,,
paste.co.id,https://csirt.paste.co.id/,,,,
persijap.co.id,https://csirt.persijap.co.id/,,aduankonten@mail.kominfo.go.id,,
performamanajemen.co.id,https://csirt.performamanajemen.co.id/,,,,
perumnas.co.id,https://csirt.perumnas.co.id/,+6281388886509,csirt@perumnas.co.id,,
pismatex.co.id,https://csirt.pismatex.co.id/,,aduankonten@mail.kominfo.go.id,,
petrane.co.id,https://ups-error.com,,,,
priangga.co.id,http://csirt.priangga.co.id/,,,,
pom.co.id,https://csirt.pom.co.id/,,,,
pn8.co.id,https://csirt.pn8.co.id/,+627483004998959,,,
prolabmas.co.id,https://csirt.prolabmas.co.id/,"+6266666102, +6294545130",,,
porto.co.id,https://ups-error.com,,,,
ptpss.co.id,https://csirt.ptpss.co.id/,,aduankonten@mail.kominfo.go.id,,
ptkcg.co.id,https://csirt.ptkcg.co.id/,,,,
perhutani.co.id,https://csirt.perhutani.co.id/,,,,
radartarakan.co.id,https://csirt.radartarakan.co.id/,"+6266666102, +621863228",,,
ptpp.co.id,https://csirt.ptpp.co.id/,+6288297857982,csirt@ptpp.co.id,,
printcom.co.id,https://csirt.printcom.co.id/,,,,
rawatgigiku.co.id,https://csirt.rawatgigiku.co.id/,,,,
prusa3d.co.id,https://csirt.prusa3d.co.id/,,,,
rateknologi.co.id,https://csirt.rateknologi.co.id/,,aduankonten@mail.kominfo.go.id,,
rdifm.co.id,https://csirt.rdifm.co.id/,,aduankonten@mail.kominfo.go.id,,
proline.co.id,https://prodis.co.id/,,,,
pin.co.id,http://csirt.pin.co.id/,,,,
qep.co.id,https://csirt.qep.co.id/,,,,
raptim-indonesia.co.id,https://csirt.raptim-indonesia.co.id/login_up.php,"+62791060416, +62782607590913",50365a6fe24f4ff28f6b625410e04a35@sentry.io,,
ptberdikari.co.id,https://csirt.ptberdikari.co.id/,,,,
rentalmobillampung.co.id,http://csirt.rentalmobillampung.co.id/,,,,
project.co.id,https://csirt.project.co.id/,+62848346669686,,,
radarbanyumas.co.id,https://csirt.radarbanyumas.co.id/,,,,
radarjogja.co.id,https://csirt.radarjogja.co.id/,,,,
qlue.co.id,https://csirt.qlue.co.id/,,,,
ratesapp.co.id,https://csirt.ratesapp.co.id/,+627433841800,,,
radaronline.co.id,https://csirt.radaronline.co.id/,+620447085051,,,
rancahpost.co.id,https://csirt.rancahpost.co.id/,+62804763451,,,
rhtour.co.id,https://csirt.rhtour.co.id/,,,,
qoo10.co.id,https://csirt.qoo10.co.id/,,,,
rsuppersahabatan.co.id,https://rspersahabatan.co.id,"+6287880070039, +62214891708",info@rspersahabatan.co.id,,
sapnudin.co.id,http://csirt.sapnudin.co.id/,,,,
sastra.co.id,https://csirt.sastra.co.id/,,aduankonten@mail.kominfo.go.id,,
seawalker.co.id,https://csirt.seawalker.co.id/,,aduankonten@mail.kominfo.go.id,,
sch.co.id,https://csirt.sch.co.id/,,,,
shopjustice.co.id,https://csirt.shopjustice.co.id/,,aduankonten@mail.kominfo.go.id,,
sinergic.co.id,https://csirt.sinergic.co.id/,,,,
sisesa.co.id,http://csirt.sisesa.co.id/,,,,
sinu.co.id,http://csirt.sinu.co.id/,,,,
sitti.co.id,https://csirt.sitti.co.id/,,aduankonten@mail.kominfo.go.id,,
soloblitz.co.id,https://csirt.soloblitz.co.id/,,aduankonten@mail.kominfo.go.id,,
spacetoon.co.id,https://csirt.spacetoon.co.id/,,aduankonten@mail.kominfo.go.id,,
sorini.co.id,https://csirt.sorini.co.id/,,aduankonten@mail.kominfo.go.id,,
site.co.id,https://site.co.id/wp-signup.php?new=csirt,+6274188829,,,
sinarsentosa.co.id,http://csirt.sinarsentosa.co.id/,,,,
sopalpha.co.id,https://sopalpha.co.id/,,,,
shoppe.co.id,https://csirt.shoppe.co.id/,,,,
sidoharind.co.id,https://csirt.sidoharind.co.id/,,,,
showa.co.id,http://csirt.showa.co.id/,,,,
spbu.co.id,https://csirt.spbu.co.id/,,,,
speedup.co.id,http://csirt.speedup.co.id/,,,,
si.co.id,https://csirt.si.co.id/,,,,
tabloidpulsa.co.id,https://csirt.tabloidpulsa.co.id/,,aduankonten@mail.kominfo.go.id,,
synapsagroup.co.id,https://csirt.synapsagroup.co.id/,,aduankonten@mail.kominfo.go.id,,
taloc.co.id,https://csirt.taloc.co.id/,,aduankonten@mail.kominfo.go.id,,
texaschicken.co.id,https://csirt.texaschicken.co.id/,,aduankonten@mail.kominfo.go.id,,
thecolorrun.co.id,https://csirt.thecolorrun.co.id/,,aduankonten@mail.kominfo.go.id,,
tangselpos.co.id,https://csirt.tangselpos.co.id/,+6272851113286,,,
thegreenforestresort.co.id,https://csirt.thegreenforestresort.co.id/,,aduankonten@mail.kominfo.go.id,,
thegift.co.id,https://csirt.thegift.co.id/,,aduankonten@mail.kominfo.go.id,,
thepointofsale.co.id,https://csirt.thepointofsale.co.id/,,aduankonten@mail.kominfo.go.id,,
theholycrab.co.id,https://csirt.theholycrab.co.id/,,aduankonten@mail.kominfo.go.id,,
thousandisland.co.id,https://csirt.thousandisland.co.id/,,aduankonten@mail.kominfo.go.id,,
tirex.co.id,https://csirt.tirex.co.id/,,aduankonten@mail.kominfo.go.id,,
theproposal.co.id,https://csirt.theproposal.co.id/,,,,
togelonline.co.id,https://csirt.togelonline.co.id/,,aduankonten@mail.kominfo.go.id,,
travelmap.co.id,https://csirt.travelmap.co.id/,,aduankonten@mail.kominfo.go.id,,
umbulponggok.co.id,https://csirt.umbulponggok.co.id/,,aduankonten@mail.kominfo.go.id,,
urbanhero.co.id,https://csirt.urbanhero.co.id/,,aduankonten@mail.kominfo.go.id,,
trendku.co.id,https://csirt.trendku.co.id/,"+628988393393, +6288809980998",webmaster@trendku.co.id,,
viiva.co.id,http://csirt.viiva.co.id/,,,,
vip32.co.id,https://csirt.vip32.co.id/,,aduankonten@mail.kominfo.go.id,,
umkmpringsewu.co.id,https://csirt.umkmpringsewu.co.id/,,,,
tribunkaltim.co.id,https://csirt.tribunkaltim.co.id/login_up.php,"+62791060416, +62782607590913",50365a6fe24f4ff28f6b625410e04a35@sentry.io,,
virtual.co.id,https://csirt.virtual.co.id/,,,,
ut.co.id,https://csirt.ut.co.id/,+62472151420,,,
tridanawa.co.id,http://csirt.tridanawa.co.id/,,,,
toyotaindonesiamanufacturing.co.id,http://csirt.toyotaindonesiamanufacturing.co.id/,,,,
winnersaptavilla.co.id,https://csirt.winnersaptavilla.co.id/,,aduankonten@mail.kominfo.go.id,,
wisatahalimun.co.id,https://csirt.wisatahalimun.co.id/,,aduankonten@mail.kominfo.go.id,,
woodlandparkresidence.co.id,https://csirt.woodlandparkresidence.co.id/,,,,
wireless.co.id,https://wireless.co.id/,,,,
yoka.co.id,https://csirt.yoka.co.id/,,aduankonten@mail.kominfo.go.id,,
youngsterpro.co.id,https://csirt.youngsterpro.co.id/,,aduankonten@mail.kominfo.go.id,,
zeta.co.id,https://csirt.zeta.co.id/,,aduankonten@mail.kominfo.go.id,,
zonawifi.co.id,http://csirt.zonawifi.co.id/,,,,
zaratour.co.id,https://csirt.zaratour.co.id/,,,,
wisatapriangan.co.id,https://csirt.wisatapriangan.co.id/,+622325360168986,,,
yayasanhadjikalla.co.id,https://csirt.yayasanhadjikalla.co.id/,,,,
yuma.co.id,https://csirt.yuma.co.id/,,aduankonten@mail.kominfo.go.id,,
